index	name	code	taxonomy	description	bin length	GC%	coverage	# contigs	# features	longest contig	RP Inventory (total: 55)	RP multiple	BSCG Inventory (total: 51)	BSCG multiple	ASCG Inventory (total: 38)	ASCG multiple	curation status	completion status
455	BJP_IG2102_PER_44_74_final	BJP_IG2102_BJP_IG2102_PER_44_74_43_74	BJP_IG2102_PER_44_74, Peregrinibacteria, Bacteria	None	998424	43.35	74.07	1	886	998424	47	2	49	0	0	0	Manually curated genome	near complete
1123	BJP_08E140C01_Falkowbacteria_33_19_curated	BJP_08E140C01_unknown_33_1	BJP_08E140C01_Falkowbacteria_33_19	None	909499	32.96	1.0	5	897	337959	49	1	49	1	8	0	Manually curated genome	near complete
1279	BJP_IG2103_TM7_39_1400_curated	BJP_IG2103_unknown_40_1	BJP_IG2103_TM7_39_1400	None	1095022	39.63	1.0	26	1130	168402	50	1	48	0	12	0	Manually curated genome	near complete
2	CG1_02_SUB10_Gracilibacteria_GN02_38_174_curated	CG1_02_SUB10_CG_GN02_01_38_1	CG_GN02-01, GN02, Bacteria	None	989898	37.84	1.0	72	1594	35976	47	3	44	0	9	3	Manually curated genome	near complete
37	CG1_02_FULL_Falkowbacteria_OD1_37_21_curated	CG1_02_FULL_CG_Falkow_01_37_1	CG_Falkow_01, Falkowbacteria, Parcubacteria, Bacteria	None	696515	37.46	1.0	32	722	57827	45	0	43	0	10	0	Manually curated genome	near complete
39	CG1_02_FULL_Parcubacteria_OD1_37_51_curated	CG1_02_FULL_CG_CPR13_01_37_1	CG_CPR13_01, CG_CPR13, Bacteria	None	830170	36.6	1.0	88	912	41568	48	2	45	0	10	1	Manually curated genome	near complete
42	CG1_02_FULL_Parcubacteria_OD1_39_15_curated	CG1_02_FULL_CG_CPR10_03_39_1	CG_CPR10_03, CG_CPR10, Bacteria	None	555297	39.48	1.0	48	652	43201	44	1	46	0	11	1	Manually curated genome	near complete
44	CG1_02_FULL_Parcubacteria_OD1_40_25_curated	CG1_02_FULL_CG_CPR05_01_40_1	CG_CPR05_01, CG_CPR05, Bacteria	None	651023	39.51	1.0	54	758	42961	35	1	38	0	8	0	Manually curated genome	partial
46	CG1_02_FULL_Falkowbacteria_OD1_41_21_curated	CG1_02_FULL_CG_Falkow_03_41_1	CG_Falkow_03, Falkowbacteria, Parcubacteria, Bacteria	None	635779	40.64	1.0	61	722	23176	40	0	45	0	9	0	Manually curated genome	near complete
47	CG1_02_FULL_Parcubacteria_OD1_41_26_curated	CG1_02_FULL_CG_CPR03_02_41_1	CG_CPR03_02, CG_CPR03, Bacteria	None	759879	41.37	1.0	87	929	27536	40	0	41	0	10	0	Manually curated genome	near complete
50	CG1_02_FULL_Parcubacteria_OD1_42_13_curated	CG1_02_FULL_CG_CPR07_01_42_1	CG_CPR07_01, CG_CPR07, Bacteria	None	400823	42.33	1.0	47	469	21868	36	0	39	0	11	1	Manually curated genome	partial
51	CG1_02_FULL_Berkelbacteria_42_45_curated	CG1_02_FULL_CG_Berkel_01_42_1	CG_Berkel_01, Berkelbacteria, Bacteria	None	581518	42.03	1.0	61	657	25488	45	2	45	0	9	1	Manually curated genome	near complete
57	CG1_02_FULL_Peregrinibacteria_PER_54_53_curated	CG1_02_FULL_CG_PER_01_54_1	CG_PER_01, Peregrinibacteria, Bacteria	None	1368207	54.15	1.0	42	1454	146250	46	2	45	1	7	0	Manually curated genome	near complete
81	CG1_02_FULL_Peregrinibacteria_PER_41_10_curated	CG1_02_FULL_CG_PER_03_41_1	CG_PER_03, Peregrinibacteria, Bacteria	None	445770	40.76	1.0	51	454	37176	43	1	40	0	5	0	Manually curated genome	partial
82	CG1_02_FULL_Nomurabacteria_OD1_43_90_curated	CG1_02_FULL_CG_Nomura_01_43_1	CG_Nomura_01, Nomurabacteria, Parcubacteria, Bacteria	None	681623	43.0	1.0	22	783	162547	47	1	41	0	9	0	Manually curated genome	near complete
107	CG1_02_FULL_CPR_36_77_curated	CG1_02_FULL_CG_Pacebac_02_36_1	CG_Pacebac_02, Pacebacteria, Microgenomates, Bacteria	None	963284	35.77	1.0	7	1041	380395	47	1	45	0	11	0	Manually curated genome	near complete
143	CG2_30_FULL_Parcubacteria_OD1_36_21_curated	CG2_30_FULL_CG_CPR03_03_36_1	CG_CPR03_03, CG_CPR03, Bacteria	None	373873	36.24	1.0	35	404	45527	40	1	44	0	11	0	Manually curated genome	near complete
146	CG2_30_FULL_Gracilibacteria_GN02_37_12_curated	CG2_30_FULL_CG_GN02_02_37_1	CG_GN02-02, GN02, Bacteria	None	946456	37.29	1.0	134	1590	22945	47	2	46	0	6	0	Manually curated genome	near complete
148	CG2_30_FULL_Levybacteria_OP11_37_29_curated	CG2_30_FULL_CG_Levy_01_36_1	CG_Levy_01, Levybacteria, Microgenomates, Bacteria	None	1004144	36.12	1.0	10	1051	179217	46	1	45	0	10	0	Manually curated genome	near complete
149	CG2_30_FULL_CPR_38_39_curated	CG2_30_FULL_unknown_38_1	None	None	986416	38.13	1.0	73	1906	35272	35	7	20	0	3	3	Manually curated genome	partial
154	CG2_30_FULL_Parcubacteria_OD1_44_11_curated	CG2_30_FULL_CG_CPR18_01_44_1	CG_CPR18-01, CG_CPR18, Bacteria	None	651172	44.07	1.0	58	693	26838	35	0	36	0	8	1	Manually curated genome	partial
156	CG2_30_FULL_Beckwithbacteria_OP11_44_31_curated	CG2_30_FULL_CG_Beckwith_02_43_1	CG_Beckwith_02, Beckwithbacteria, Microgenomates, Bacteria	None	471552	43.29	1.0	53	615	22377	34	1	37	0	9	1	Manually curated genome	partial
157	CG2_30_FULL_Moranbacteria_OD1_45_14_curated	CG2_30_FULL_CG_Moran_01_45_1	CG_Moran_01, Moranbacteria, Parcubacteria, Bacteria	None	752568	44.59	1.0	50	772	51339	49	2	46	0	7	0	Manually curated genome	near complete
158	CG2_30_FULL_Parcubacteria_OD1_45_37_curated	CG2_30_FULL_CG_Falkow_04_45_1	CG_Falkow_04, Falkowbacteria, Parcubacteria, Bacteria	None	619304	45.06	1.0	86	705	28299	36	2	37	1	9	0	Manually curated genome	partial
159	CG2_30_FULL_Parcubacteria_OD1_48_51_curated	CG2_30_FULL_CG_CPR12_01_48_1	CG_CPR12_01, CG_CPR12, Bacteria	None	895012	48.36	1.0	36	954	83155	44	0	46	0	12	1	Manually curated genome	near complete
196	CG2_30_FULL_Saccharibacteria_TM7_41_52_curated	CG2_30_FULL_CG_TM7_01_41_1	CG_TM7_01, Candidatus Saccharibacteria, Bacteria	None	825475	40.53	1.0	12	817	240542	45	1	48	0	12	1	Manually curated genome	near complete
209	CG2_30_FULL_CPR_47_67_curated	CG2_30_FULL_CG_Nomura_04_47_1	CG_Nomura_04, Nomurabacteria, Parcubacteria, Bacteria	None	779190	46.82	1.0	45	886	53608	45	1	43	0	10	0	Manually curated genome	near complete
210	CG2_30_FULL_CPR_50_59_curated	CG2_30_FULL_CG_CPR09_01_50_1	CG_CPR09_01, CG_CPR09, Bacteria	None	487854	50.0	1.0	32	588	57792	45	1	41	0	8	0	Manually curated genome	near complete
219	CG2_30_SUB10_Moranbacteria_OD1_41_165_curated	CG2_30_SUB10_CG_Moran_02_41_1	CG_Moran_02, Moranbacteria, Parcubacteria, Bacteria	None	896114	41.03	1.0	44	939	80241	47	1	48	0	10	1	Manually curated genome	near complete
234	CG01_land_8_20_14_3_00_Nealsonbacteria_OD1_12_curated	CG01_land_8_20_14_3_00_CG_CPR10_37_1	CG_CPR10, Bacteria	None	440920	36.76	1.0	71	518	18251	43	0	44	1	10	0	Manually curated genome	near complete
239	CG02_land_8_20_14_3_00_150_Nealsonbacteria_OD1_34_20_curated	CG02_land_8_20_14_3_00_150_Bacteria_34_1	Bacteria	None	458493	34.29	1.0	40	500	27319	44	0	47	0	11	0	Manually curated genome	near complete
249	CG02_land_8_20_14_3_00_150_Falkowbacteria_OD1_36_14_curated	CG02_land_8_20_14_3_00_150_CG_Falkow_02_36_1	CG_Falkow_02, Falkowbacteria, Parcubacteria, Bacteria	None	1098672	35.92	1.0	147	1187	47034	51	2	47	1	10	3	Manually curated genome	near complete
258	CG02_land_8_20_14_3_00_150_Portnoybacteria_OD1_45_8_curated	CG02_land_8_20_14_3_00_150_Parcubacteria_45_1	Parcubacteria, Bacteria	None	472037	44.58	1.0	64	536	17060	44	1	46	0	9	0	Manually curated genome	near complete
262	CG03_land_8_20_14_0_80_cor_Nealsonbacteria_OD1_36_12_curated	CG03_land_8_20_14_0_80_cor_Bacteria_35_1	Bacteria	None	299097	35.2	1.0	38	357	19604	37	1	38	1	6	1	Manually curated genome	partial
263	CG03_land_8_20_14_0_80_cor_Shapirobacteria_OP11_40_19_curated	CG03_land_8_20_14_0_80_cor_Microgenomates_40_1	Microgenomates, Bacteria	None	715774	39.67	1.0	62	823	56111	47	2	47	0	12	0	Manually curated genome	near complete
277	CG03_land_8_20_14_0_80_cor_Roizmanbacteria_OP11_39_12_curated	CG03_land_8_20_14_0_80_cor_Microgenomates_39_1	Microgenomates, Bacteria	None	897489	38.97	1.0	238	1157	15160	43	1	42	2	6	2	Manually curated genome	near complete
279	CG03_land_8_20_14_0_80_cor_Shapirobacteria_OP11_39_12_curated	CG03_land_8_20_14_0_80_cor_Microgenomates_39_1	Microgenomates, Bacteria	None	667119	39.15	1.0	61	732	38333	37	2	39	2	9	1	Manually curated genome	partial
281	CG03_land_8_20_14_0_80_cor_Wolfebacteria_OD1_36_15_curated	CG03_land_8_20_14_0_80_cor_Parcubacteria_36_1	Parcubacteria, Bacteria	None	329662	36.17	1.0	62	417	14099	42	0	39	0	9	0	Manually curated genome	partial
282	CG03_land_8_20_14_0_80_cor_Jorgensenbacteria_OD1_38_39_curated	CG03_land_8_20_14_0_80_cor_Parcubacteria_38_1	Parcubacteria, Bacteria	None	550298	38.44	1.0	37	607	58711	46	3	46	0	10	1	Manually curated genome	near complete
283	CG03_land_8_20_14_0_80_cor_Portnoybacteria_OD1_41_10_curated	CG03_land_8_20_14_0_80_cor_Parcubacteria_41_1	Parcubacteria, Bacteria	None	474107	40.87	1.0	62	537	25059	43	1	47	1	8	0	Manually curated genome	near complete
285	CG03_land_8_20_14_0_80_cor_Roizmanbacteria_OP11_35_26_curated	CG03_land_8_20_14_0_80_cor_Roizmanbacteria_35_1	Roizmanbacteria, Microgenomates, Bacteria	None	873834	35.39	1.0	78	1015	45997	45	2	43	1	8	1	Manually curated genome	near complete
287	CG03_land_8_20_14_0_80_cor_Wolfebacteria_OD1_40_12_curated	CG03_land_8_20_14_0_80_cor_Wolfebacteria_39_1	Wolfebacteria, Parcubacteria, Bacteria	None	513078	39.36	1.0	69	561	21183	42	3	45	0	9	0	Manually curated genome	near complete
292	CG06_land_8_20_14_3_00_150_Berkelbacteria_43_10_curated	CG06_land_8_20_14_3_00_150_CG_Berkel_02_43_1	CG_Berkel_02, Berkelbacteria, Bacteria	None	677107	42.82	1.0	41	762	39139	47	2	46	0	8	0	Manually curated genome	near complete
303	CG06_land_8_20_14_3_00_150_Roizmanbacteria_OP11_34_14_curated	CG06_land_8_20_14_3_00_150_Microgenomates_34_1	Microgenomates, Bacteria	None	784847	33.65	1.0	72	935	32824	42	1	42	0	7	0	Manually curated genome	near complete
304	CG06_land_8_20_14_3_00_150_Shapirobacteria_OP11_40_12_curated	CG06_land_8_20_14_3_00_150_Microgenomates_40_1	Microgenomates, Bacteria	None	762889	40.07	1.0	67	925	38153	47	1	45	1	8	0	Manually curated genome	near complete
305	CG06_land_8_20_14_3_00_150_Moranbacteria_OD1_40_12_curated	CG06_land_8_20_14_3_00_150_Moranbacteria_40_1	Moranbacteria, Parcubacteria, Bacteria	None	814737	40.05	1.0	51	843	84479	46	5	47	0	10	0	Manually curated genome	near complete
328	CG07_land_8_20_14_0_80_Shapirobateria_OP11_39_12_curated	CG07_land_8_20_14_0_80_Microgenomates_39_1	Microgenomates, Bacteria	None	445593	38.84	1.0	74	549	21683	40	0	44	1	9	2	Manually curated genome	near complete
329	CG07_land_8_20_14_0_80_Shapirobacteria_OP11_39_18_curated	CG07_land_8_20_14_0_80_Microgenomates_39_1	Microgenomates, Bacteria	None	475712	39.05	1.0	146	615	17694	38	1	40	3	5	0	Manually curated genome	partial
338	CG08_land_8_20_14_0_20_Nealsonbacteria_OD1_38_20_curated	CG08_land_8_20_14_0_20_Bacteria_37_1	Bacteria	None	642006	37.47	1.0	69	751	21427	37	0	40	2	9	2	Manually curated genome	partial
340	CG08_land_8_20_14_0_20_Gribaldobacteria_OD1_39_15_curated	CG08_land_8_20_14_0_20_Bacteria_39_1	Bacteria	None	570572	38.95	1.0	77	618	22686	39	2	38	1	7	1	Manually curated genome	partial
341	CG08_land_8_20_14_0_20_WWE3_40_13_curated	CG08_land_8_20_14_0_20_Bacteria_40_1	Bacteria	None	633810	39.78	1.0	32	702	86341	44	2	45	0	7	1	Manually curated genome	near complete
343	CG08_land_8_20_14_0_20_WWE3_41_15_curated	CG08_land_8_20_14_0_20_Bacteria_41_1	Bacteria	None	750657	41.31	1.0	69	853	73603	39	4	44	3	9	2	Manually curated genome	near complete
344	CG08_land_8_20_14_0_20_Nealsonbacteria_OD1_43_11_curated	CG08_land_8_20_14_0_20_Bacteria_43_1	Bacteria	None	517570	42.77	1.0	47	562	41719	41	2	41	0	4	0	Manually curated genome	near complete
345	CG08_land_8_20_14_0_20_WWE3_43_13_curated	CG08_land_8_20_14_0_20_Bacteria_43_1	Bacteria	None	608322	42.63	1.0	48	652	55376	43	4	39	0	8	1	Manually curated genome	partial
346	CG08_land_8_20_14_0_20_novel_Parcubacteria_43_9_curated	CG08_land_8_20_14_0_20_Bacteria_43_1	Bacteria	None	463445	43.19	1.0	54	526	31388	44	1	46	0	9	0	Manually curated genome	near complete
357	CG08_land_8_20_14_0_20_Kuenenbacteria_OD1_37_23_curated	CG08_land_8_20_14_0_20_CG_Kuenen_01_37_1	CG_Kuenen_01, Kuenenbacteria, Parcubacteria, Bacteria	None	788340	37.16	1.0	55	786	45455	47	2	48	1	8	0	Manually curated genome	near complete
369	CG08_land_8_20_14_0_20_Shapirobacteria_OP11_39_18_curated	CG08_land_8_20_14_0_20_Microgenomates_39_1	Microgenomates, Bacteria	None	860217	38.79	1.0	23	1018	131494	42	2	45	0	12	1	Manually curated genome	near complete
370	CG08_land_8_20_14_0_20_Moranbacteria_OD1_34_16_curated	CG08_land_8_20_14_0_20_Moranbacteria_34_1	Moranbacteria, Parcubacteria, Bacteria	None	908071	33.74	1.0	132	952	26827	50	4	49	2	11	0	Manually curated genome	near complete
372	CG08_land_8_20_14_0_20_Kerfelbacteria_OD1_40_16_curated	CG08_land_8_20_14_0_20_Parcubacteria_40_1	Parcubacteria, Bacteria	None	1126838	39.65	1.0	62	1163	61409	47	2	48	0	13	0	Manually curated genome	near complete
373	CG08_land_8_20_14_0_20_Kerfelbacteria_OD1_42_7_curated	CG08_land_8_20_14_0_20_Parcubacteria_42_1	Parcubacteria, Bacteria	None	874446	42.13	1.0	166	1030	20842	38	1	42	2	7	0	Manually curated genome	near complete
374	CG08_land_8_20_14_0_20_Kerfelbacteria_OD1_43_14_curated	CG08_land_8_20_14_0_20_Parcubacteria_43_1	Parcubacteria, Bacteria	None	656086	43.12	1.0	72	712	45442	41	1	40	0	11	0	Manually curated genome	partial
